,Company,PriceRs.,Day HighRs.
0,IKIO Lighting,462.80,477.00
1,Larsen & Toubro,2389.55,2427.00
2,Aurobindo Pharma,699.15,701.00
3,PB Fintech,656.95,690.00
4,Interglobe Aviation,2475.05,2508.95
5,Tube Investments,3164.05,3398.70
6,Trent,1724.95,1743.90
7,LG Balakrishnan&Bros,1040.10,1063.85
8,Texmaco Rail & Eng.,75.75,78.65
9,Wheels India,772.20,786.45
10,TD Power Systems,232.95,240.50
11,Rico Auto Inds,103.35,105.70
12,Force Motors,2322.50,2351.00
13,CreditAccess Grameen,1383.70,1396.90
14,PNB Housing Finance,588.85,615.00
